Queries,Clicks,Impressions,CTR,Position
diverse image inpainting with bidirectional and autoregressive transformers,2,94,2.13%,10.4
learning frequency-aware dynamic network for efficient super-resolution,2,90,2.22%,6.33
high-fidelity neural human motion transfer from monocular video,2,87,2.3%,8.02
"lfpt5: a unified framework for lifelong few-shot language learning based on 
prompt tuning of t5",2,80,2.5%,4.67
"speech resynthesis from discrete disentangled self-supervised 
representations",2,76,2.63%,8.83
"extrinsic contact sensing with relative-motion tracking from distributed 
tactile measurements",2,75,2.67%,4.6
countergan,2,75,2.67%,7.55
"slam: a unified encoder for speech and language modeling via speech-text 
joint pre-training",2,74,2.7%,6.55
trafficsim: learning to simulate realistic multi-agent behaviors,2,72,2.78%,7.1
machine translation decoding beyond beam search,2,70,2.86%,7.6
neural brdf representation and importance sampling,2,67,2.99%,8.06
gated transformer networks for multivariate time series classification,2,65,3.08%,5.49
functions #10 skyline,2,64,3.12%,8.12
automated concatenation of embeddings for structured prediction,2,64,3.12%,9.53
audio spectrogram transformer github,2,63,3.17%,8.65
a survey on fundamental limits of integrated sensing and communication,2,61,3.28%,5.41
"distillation based multi-task learning: a candidate generation model for 
improving reading duration",2,61,3.28%,6.23
machine knowledge: creation and curation of comprehensive knowledge bases,2,51,3.92%,7.41
counterfactual explanations for machine learning: a review,2,51,3.92%,10.39
se-ssd: self-ensembling single-stage object detector from point cloud,2,48,4.17%,7.96
scalable graph neural networks via bidirectional propagation,2,46,4.35%,8.7
mist: multiple instance self-training framework for video anomaly detection,2,40,5%,8.8
densely guided knowledge distillation using multiple teacher assistants,2,40,5%,9.15
fgsm vs pgd,2,40,5%,10.55
a survey of deep learning approaches for ocr and document understanding,2,38,5.26%,7.92
greenplum: a hybrid database for transactional and analytical workloads,2,38,5.26%,8.32
end-to-end unsupervised document image blind denoising,2,37,5.41%,4.76
deep graph structure learning for robust representations: a survey,2,36,5.56%,6.42
a survey on deep learning techniques for stereo-based depth estimation,2,36,5.56%,11.17
generalized out-of-distribution detection: a survey,2,28,7.14%,7.79
fastcorrect github,2,28,7.14%,8.71
copod: copula-based outlier detection,2,25,8%,10.84
flextoe: flexible tcp offload with fine-grained parallelism,2,24,8.33%,6.17
"efficient large-scale language model training on gpu clusters using 
megatron-lm",2,15,13.33%,17.93
"weak links in authentication chains: a large-scale analysis of email sender 
spoofing attacks",2,6,33.33%,10.17
document image classification github,2,4,50%,31
explaining in style: training a gan to explain a classifier in stylespace,1,311,0.32%,9.67
conservative data sharing for multi-task offline reinforcement learning,1,131,0.76%,7.26
on interpretation and measurement of soft attributes for recommendation,1,130,0.77%,6.58
cold-start sequential recommendation via meta learner,1,129,0.78%,7.22
jitline,1,128,0.78%,9.35
active learning by acquiring contrastive examples,1,124,0.81%,8.43
transunet: transformers make strong encoders for medical image segmentation,1,119,0.84%,10.85
cointossx,1,113,0.88%,9.42
improved text classification via contrastive adversarial training,1,112,0.89%,6.94
personalized transfer of user preferences for cross-domain recommendation,1,109,0.92%,6.94
"nerv: neural reflectance and visibility fields for relighting and view 
synthesis",1,109,0.92%,10.21
robust adversarial attacks against dnn-based wireless communication systems,1,103,0.97%,7.75
fastcorrect,1,100,1%,7.84
flert: document-level features for named entity recognition,1,97,1.03%,9.22
"unicorn on rainbow: a universal commonsense reasoning model on a new 
multitask benchmark",1,96,1.04%,6.86
ast: audio spectrogram transformer,1,95,1.05%,10.61
autoregressive entity retrieval,1,92,1.09%,11.52
graph condensation for graph neural networks,1,89,1.12%,8.28
"starganv2-vc: a diverse, unsupervised, non-parallel framework for 
natural-sounding voice conversion",1,88,1.14%,7.4
deepdarts,1,88,1.14%,9.01
comixgan,1,82,1.22%,4.66
"logic-driven context extension and data augmentation for logical reasoning 
of text",1,82,1.22%,6.34
"transfertransfo: a transfer learning approach for neural network based 
conversational agents",1,79,1.27%,9.33
poisoning the unlabeled dataset of semi-supervised learning,1,79,1.27%,9.81
self-supervised learning for large-scale item recommendations,1,77,1.3%,18.61
"reinforcement learning for robust parameterized locomotion control of 
bipedal robots",1,76,1.32%,7.39
comisr: compression-informed video super-resolution,1,74,1.35%,6.2
revisit recommender system in the permutation prospective,1,74,1.35%,10.14
"mp3: a unified model to map, perceive, predict and plan",1,73,1.37%,10.07
baking neural radiance fields for real-time view synthesis,1,71,1.41%,9.17
latent causal invariant model,1,70,1.43%,8.43
"learning a state representation and navigation in cluttered and dynamic 
environments",1,66,1.52%,3.39
hasco: towards agile hardware and software co-design for tensor computation,1,66,1.52%,6
deployment archetypes for cloud applications,1,66,1.52%,7.09
neural prototype trees for interpretable fine-grained image recognition,1,66,1.52%,8.88
fast training of neural lumigraph representations using meta learning,1,66,1.52%,9.18
efficient and robust lidar-based end-to-end navigation,1,65,1.54%,5.68
"deep orthogonal fusion: multimodal prognostic biomarker discovery 
integrating radiology, pathology, genomic, and clinical data",1,65,1.54%,6.88
path-based deep network for candidate item matching in recommenders,1,65,1.54%,9.17
robust predictable control,1,63,1.59%,9.41
attribute-conditioned layout gan for automatic graphic design,1,60,1.67%,7.92
a simple baseline for stylegan inversion,1,60,1.67%,7.98
distributionally robust federated averaging,1,60,1.67%,9.92
contact-graspnet: efficient 6-dof grasp generation in cluttered scenes,1,57,1.75%,9.12
replacing mobile camera isp with a single deep learning model,1,54,1.85%,8.96
fast patch-based style transfer of arbitrary style,1,54,1.85%,9.13
strategic classification made practical,1,52,1.92%,7.35
"convtransformer: a convolutional transformer network for video frame 
synthesis",1,52,1.92%,7.98
morphgan,1,52,1.92%,8.88
learning one representation to optimize all rewards,1,51,1.96%,7.86
"context-aware attentional pooling (cap) for fine-grained visual 
classification",1,51,1.96%,8.12
benchmarking and survey of explanation methods for black box models,1,50,2%,8.72
expressive neural voice cloning,1,50,2%,9.5
"rethinking soft labels for knowledge distillation: a bias-variance tradeoff 
perspective",1,50,2%,9.5
"lips don’t lie: a generalisable and robust approach to face forgery 
detection",1,49,2.04%,7.51
real-time speech frequency bandwidth extension,1,47,2.13%,8.45
sliding spectrum decomposition for diversified recommendation,1,46,2.17%,8.76
multi-modal fusion transformer for end-to-end autonomous driving,1,46,2.17%,10.26
"multimodal clustering networks for self-supervised learning from unlabeled 
videos",1,45,2.22%,9.98
"unit-ddpm: unpaired image translation with denoising diffusion 
probabilistic models",1,44,2.27%,5.34
uprec: user-aware pre-training for recommender systems,1,44,2.27%,8.3
few-shot question answering by pretraining span selection,1,44,2.27%,10.23
sailfish: vetting smart contract state-inconsistency bugs in seconds,1,43,2.33%,8.47
mt-opt: continuous multi-task robotic reinforcement learning at scale,1,43,2.33%,9.63
"understanding chinese video and language via contrastive multimodal 
pre-training",1,42,2.38%,8.24
"dynamic visual reasoning by learning differentiable physics models from 
video and language",1,42,2.38%,9.33
speechocean762,1,42,2.38%,9.52
learning compositional radiance fields of dynamic human heads,1,41,2.44%,7.29
"seven defining features of terahertz (thz) wireless systems: a fellowship 
of communication and sensing",1,41,2.44%,8.54
"recpipe: co-designing models and hardware to jointly optimize 
recommendation quality and performance",1,41,2.44%,9.32
"quantum computing: a taxonomy, systematic review and future directions",1,41,2.44%,10.46
a deep learning based cost model for automatic code optimization,1,40,2.5%,10.25
tablenet python,1,39,2.56%,9.1
machine learning on graphs: a model and comprehensive taxonomy,1,38,2.63%,5.45
"bidirectional machine reading comprehension for aspect sentiment triplet 
extraction",1,37,2.7%,8.89
"monocular 3d multi-person pose estimation by integrating top-down and 
bottom-up networks",1,37,2.7%,10.38
midv2020,1,36,2.78%,6.39
ai transfer learning,1,35,2.86%,38.97
session-aware query auto-completion using extreme multi-label ranking,1,34,2.94%,9.32
neural topic model via optimal transport,1,32,3.12%,7.62
logbert,1,31,3.23%,25.06
"emotion correlation mining through deep learning models on natural language 
text",1,30,3.33%,7.5
in-ide code generation from natural language: promise and challenges,1,29,3.45%,4.72
"deep physical neural networks enabled by a backpropagation algorithm for 
arbitrary physical systems",1,29,3.45%,11.69
transfer learning ai,1,29,3.45%,17.76
"a simple but tough-to-beat data augmentation approach for natural language 
understanding and generation",1,28,3.57%,6.5
"language-agnostic representation learning of source code from structure and 
context",1,28,3.57%,10.46
"deep retrieval: an end-to-end learnable structure model for large-scale 
recommendations",1,28,3.57%,10.71
tablelab,1,28,3.57%,45.82
synergy between 3dmm and 3d landmarks for accurate 3d facial geometry,1,27,3.7%,6.33
deep photo style transfer github,1,27,3.7%,10.7
animating pictures with eulerian motion fields,1,27,3.7%,15.67
resizemix,1,26,3.85%,6.23
whiteningbert: an easy unsupervised sentence embedding approach,1,26,3.85%,6.73
wake word detection with streaming transformers,1,25,4%,6.4
map-adaptive goal-based trajectory prediction,1,25,4%,7.88
embodied intelligence via learning and evolution,1,25,4%,29.2
generative adversarial networks in time series: a survey and taxonomy,1,24,4.17%,9.21
how could neural networks understand programs?,1,23,4.35%,8.26
"user-centric cell-free massive mimo networks: a survey of opportunities, 
challenges and solutions",1,23,4.35%,9.13
musicnn,1,23,4.35%,10.78
deep parametric continuous convolutional neural networks,1,23,4.35%,12.13
semantic curiosity for active visual learning,1,22,4.55%,9
"improving bi-encoder document ranking models with two rankers and 
multi-teacher distillation",1,21,4.76%,7.38
byeglassesgan,1,21,4.76%,8.19
stochastic block model entropy and broadcasting on trees with survey,1,20,5%,6.65
open brands dataset,1,20,5%,7.85
"the future of human-ai collaboration: a taxonomy of design knowledge for 
hybrid intelligence systems",1,20,5%,8.15
graph meta network for multi-behavior recommendation,1,20,5%,9.35
detr3d,1,20,5%,25.4
self-training and pre-training are complementary for speech recognition,1,19,5.26%,8.68
learning a deep compact image representation for visual tracking,1,19,5.26%,9.42
understanding and creating art with ai: review and outlook,1,18,5.56%,2.67
dreamcoder,1,18,5.56%,72.56
"data-driven sparse skin stimulation can convey social touch information to 
humans",1,16,6.25%,7.25
perceptual loss for robust unsupervised homography estimation,1,16,6.25%,7.62
the benchmark lottery,1,16,6.25%,8.25
sentence-bert: sentence embeddings using siamese bert-networks,1,16,6.25%,32.88
unit-ddpm,1,15,6.67%,4.2
wavefill: a wavelet-based generation network for image inpainting,1,15,6.67%,5.27
combined depth space based architecture search for person re-identification,1,15,6.67%,7.13
sirnn: a math library for secure rnn inference,1,15,6.67%,7.27
"ppfl: privacy-preserving federated learning with trusted execution 
environments",1,15,6.67%,11.87
talking-heads attention,1,15,6.67%,12.47
secureboost,1,15,6.67%,19.53
"imu data processing for inertial aided navigation: a recurrent neural 
network based approach",1,14,7.14%,5.07
"aprf-net: attentive pseudo-relevance feedback network for query 
categorization",1,14,7.14%,5.43
supporting clustering with contrastive learning,1,14,7.14%,13
trafficsim,1,14,7.14%,22.71
truncation-free matching system for display advertising at alibaba,1,13,7.69%,5.92
an in-depth analysis of the slingshot interconnect,1,13,7.69%,8.08
"meta faster r-cnn: towards accurate few-shot object detection with 
attentive feature alignment",1,13,7.69%,9.69
deep structured reactive planning,1,12,8.33%,5.08
towards real-time semantic rgb-d slam in dynamic environments,1,12,8.33%,5.58
e-graphsage,1,12,8.33%,8.58
unsupervised domain adaptation by backpropagation github,1,12,8.33%,12.25
patentpy,1,12,8.33%,14.17
s3prl-vc,1,11,9.09%,7.55
neural pruning via growing regularization,1,11,9.09%,12.36
"one model to serve all: star topology adaptive recommender for multi-domain 
ctr prediction",1,11,9.09%,17.45
misspelling correction with pre-trained contextual language model,1,10,10%,5.1
"a comparison of natural language understanding platforms for chatbots in 
software engineering",1,10,10%,8.2
"a survey of label-noise representation learning: past, present and future",1,10,10%,11.5
you only learn one representation,1,10,10%,18.9
machine learning using stata,1,10,10%,30.2
"self-supervision closes the gap between weak and strong supervision in 
histology",1,9,11.11%,2
feature space singularity for out-of-distribution detection,1,9,11.11%,9.78
logodet-3k,1,9,11.11%,12.44
m2lens: visualizing and explaining multimodal models for sentiment analysis,1,8,12.5%,6.88
liranet,1,8,12.5%,9.12
reinforced attention for few-shot learning and beyond,1,8,12.5%,10.25
lanercnn,1,8,12.5%,11.12
a survey on contextual embeddings,1,8,12.5%,17.62
customer2vec,1,8,12.5%,21.62
talking head generation with audio and speech related facial action units,1,7,14.29%,3.29
neural inverse text normalization,1,7,14.29%,7.57
deep reinforcement learning for active high frequency trading,1,7,14.29%,10.14
on the generalization effects of linear transformations in data augmentation,1,7,14.29%,10.57
"catastrophic fisher explosion: early phase fisher matrix impacts 
generalization",1,7,14.29%,11.71
generative hierarchical features from synthesizing images,1,7,14.29%,15.57
hifisinger,1,7,14.29%,19.14
personalized embedding-based e-commerce recommendations at ebay,1,6,16.67%,4.33
freshdiskann,1,6,16.67%,6.5
embedding based retrieval in facebook search,1,6,16.67%,27.67
simpdom,1,6,16.67%,39.33
tailored learning-based scheduling for kubernetes-oriented edge-cloud system,1,5,20%,4.2
the staircase property: how hierarchical structure can guide deep learning,1,5,20%,5.2
localglmnet: interpretable deep learning for tabular data,1,5,20%,6.6
knowledge distillation and student-teacher learning for visual intelligence,1,5,20%,7.8
fastai swin transformer,1,4,25%,6
"glance and focus: a dynamic approach to reducing spatial redundancy in 
image classification",1,4,25%,9
clairvoyant prefetching for distributed machine learning i/o,1,4,25%,17.25
kirian döpfner,1,4,25%,30
openfst python,1,4,25%,34.25
adversarial distillation,1,4,25%,39
lookout: diverse multi-future prediction and planning for self-driving,1,3,33.33%,10
the multilingual amazon reviews corpus,1,3,33.33%,12
neural monocular 3d human motion capture with physical awareness,1,3,33.33%,20.67
variational shape approximation,1,3,33.33%,22
tsception,1,3,33.33%,42
"combining reinforcement learning with model predictive control for on-ramp 
merging",1,2,50%,7
extending multilingual bert to low-resource languages,1,2,50%,10.5
modular primitives for high-performance differentiable rendering,1,2,50%,16.5
"security and privacy for 6g: a survey on prospective technologies and 
challenges",1,2,50%,21
matthew blischke,1,2,50%,22
tailornet,1,2,50%,29.5
denoising implicit feedback for recommendation,1,2,50%,43.5
genre entity linking,1,2,50%,61
sentdex neural network,1,1,100%,7
genfloor,1,1,100%,12
a survey of smart contract formal specification and verification,1,1,100%,13
quanta burst photography,1,1,100%,14
consistency regularization for adversarial robustness,1,1,100%,17
clinical bert embeddings,1,1,100%,28
spherical transformer,1,1,100%,36
skiffos,1,1,100%,39
perceptual loss paper,1,1,100%,48
a fine-grained analysis on distribution shift,0,436,0%,9.41
bitcoin 3blue1brown,0,328,0%,33.22
traffic simulation,0,269,0%,148.44
"learning discrete representations via constrained clustering for effective 
and efficient dense retrieval",0,213,0%,7.88
deep contextual video compression,0,199,0%,7.65
med3d,0,171,0%,8.05
long short-term temporal meta-learning in online recommendation,0,159,0%,5.66
roformer: enhanced transformer with rotary position embedding,0,159,0%,10.13
empowering news recommendation with pre-trained language models,0,152,0%,7.03
acorn: adaptive coordinate networks for neural scene representation,0,150,0%,9.59
human pose regression with residual log-likelihood estimation,0,146,0%,9.39
low code for dummies,0,146,0%,57.24
"contrastive learning based hybrid networks for long-tailed image 
classification",0,138,0%,8.84
"transpose: real-time 3d human translation and pose estimation with six 
inertial sensors",0,133,0%,9.44
ai body measurement,0,133,0%,60.39
faster matchings via learned duals,0,127,0%,8.78
tablenet,0,122,0%,37.77
rethinking cnn models for audio classification,0,118,0%,10.49
deep learning feedback loop,0,112,0%,45.66
frankapy,0,111,0%,7.57
ekya: continuous learning of video analytics models on edge compute servers,0,111,0%,7.77
eleni ilkou,0,111,0%,43.56
poconet,0,107,0%,8.5
depth-supervised nerf: fewer views and faster training for free,0,107,0%,9.14
fast and explicit neural view synthesis,0,107,0%,9.67
"personalized adaptive meta learning for cold-start user preference 
prediction",0,104,0%,5.96
stylealign: analysis and applications of aligned stylegan models,0,104,0%,7.96
park4u,0,104,0%,56.76
building an anomaly detection system,0,103,0%,79.76
sentdex machine learning,0,102,0%,42.97
dual-cross central difference network for face anti-spoofing,0,101,0%,8.19
multi-domain multi-task rehearsal for lifelong learning,0,101,0%,8.69
denoising user-aware memory network for recommendation,0,101,0%,9.41
unsupervised data augmentation,0,98,0%,39.16
neural video portrait relighting in real-time via consistency modeling,0,97,0%,5.99
tablelabs,0,97,0%,72.86
nbeatsx,0,96,0%,8.14
websrc,0,95,0%,7.85
detr3d: 3d object detection from multi-view images via 3d-to-2d queries,0,95,0%,9.22
dataset meta-learning from kernel ridge-regression,0,95,0%,9.94
"mapre: an effective semantic mapping approach for low-resource relation 
extraction",0,94,0%,5.71
active learning semantic segmentation,0,94,0%,58.87
scale efficiently: insights from pre-training and fine-tuning transformers,0,93,0%,8.77
"online certification of preference-based fairness for personalized 
recommender systems",0,92,0%,10.04
detecting beneficial feature interactions for recommender systems,0,90,0%,8.86
exemplar-based 3d portrait stylization,0,90,0%,9.53
generalized few-shot object detection without forgetting,0,89,0%,9.21
quantifying and mitigating privacy risks of contrastive learning,0,88,0%,8.02
"contrastive learning for representation degeneration problem in sequential 
recommendation",0,87,0%,7.25
transfertransfo,0,85,0%,8.21
zero-infinity: breaking the gpu memory wall for extreme scale deep learning,0,85,0%,8.78
improved stylegan embedding: where are the good latents?,0,84,0%,8.23
a modern primer on processing in memory,0,83,0%,8.24
sub-word level lip reading with visual attention,0,81,0%,4.54
conversation disentanglement,0,81,0%,64.22
unipelt: a unified framework for parameter-efficient language model tuning,0,80,0%,5.67
"high-resolution image inpainting with iterative confidence feedback and 
guided upsampling",0,80,0%,7.04
t2vlad: global-local sequence alignment for text-video retrieval,0,79,0%,8.28
mlp mixer,0,79,0%,68.94
pythonfoam,0,78,0%,8.53
"source data-absent unsupervised domain adaptation through hypothesis 
transfer and labeling transfer",0,78,0%,10.59
document image classification,0,78,0%,81.83
super odometry,0,77,0%,9.1
slingshot interconnect,0,77,0%,45.92
human robot coordination,0,77,0%,83.26
ai assisted design,0,77,0%,86.86
hindsight experience replay,0,76,0%,57.62
"single image hdr reconstruction using a cnn with masked features and 
perceptual loss",0,75,0%,8.33
comisr,0,74,0%,8.68
"adversary instantiation: lower bounds for differentially private machine 
learning",0,74,0%,9.36
"improving zero-shot voice style transfer via disentangled representation 
learning",0,74,0%,9.49
certified monotonic neural networks,0,74,0%,9.86
deep learning card fraud,0,73,0%,91.26
"vatld: a visual analytics system to assess, understand and improve traffic 
light detection",0,72,0%,6.93
similarity reasoning and filtration for image-text matching,0,72,0%,8.24
"augmenting sequential recommendation with pseudo-prior items via reversely 
pre-training transformer",0,72,0%,9.64
document image classification using deep learning,0,72,0%,88.33
solving high-dimensional parabolic pdes using the tensor train format,0,69,0%,8.86
few-shot named entity recognition: a comprehensive study,0,69,0%,10.52
distgnn,0,68,0%,8.43
ai city challenge,0,68,0%,45
feedrec: news feed recommendation with various user feedbacks,0,66,0%,6.68
a survey on spoken language understanding: recent advances and new frontiers,0,66,0%,8.61
"autoprompt: eliciting knowledge from language models with automatically 
generated prompts.",0,66,0%,9.27
machine learning 3blue1brown,0,66,0%,26.32
large scale pruning,0,66,0%,85.74
styleclip,0,66,0%,86.85
coloradar,0,65,0%,7.51
layoutgmn: neural graph matching for structural layout similarity,0,65,0%,7.77
first order motion model,0,65,0%,65.42
automatic construction of lane-level hd maps for urban scenes,0,64,0%,5.06
identifying driver interactions via conditional behavior prediction,0,64,0%,5.3
"learning to rearrange deformable cables, fabrics, and bags with 
goal-conditioned transporter networks",0,64,0%,5.55
learning passage impacts for inverted indexes,0,64,0%,7.53
"explicit semantic cross feature learning via pre-trained graph neural 
networks for ctr prediction",0,64,0%,9.14
unifying multimodal transformer for bi-directional image and text generation,0,63,0%,7.37
taxonomizing local versus global structure in neural network loss landscapes,0,62,0%,7.26
manipulating sgd with data ordering attacks,0,62,0%,9.02
"emergent complexity and zero-shot transfer via unsupervised environment 
design",0,62,0%,10.31
picpurify,0,62,0%,69.19
11ax latency,0,62,0%,74.69
pymoo,0,61,0%,62.56
"learning position and target consistency for memory-based video object 
segmentation",0,60,0%,7.08
"masknet: introducing feature-wise multiplication to ctr ranking models by 
instance-guided mask",0,60,0%,7.43
splade: sparse lexical and expansion model for first stage ranking,0,60,0%,8.12
"a survey on neural recommendation: from collaborative filtering to content 
and context enriched recommendation",0,60,0%,8.67
fedgan: federated generative adversarial networks for distributed data,0,60,0%,9.17
sparterm,0,59,0%,8.59
machine learning voice cloning,0,59,0%,89.2
faa$t: a transparent auto-scaling cache for serverless applications,0,58,0%,9.31
"towards understanding ensemble, knowledge distillation and 
self-distillation in deep learning",0,58,0%,10.53
a survey of knowledge-enhanced text generation,0,58,0%,10.76
biogru,0,58,0%,45.45
"datalens: scalable privacy preserving training via gradient compression and 
aggregation",0,56,0%,9.14
diffpd,0,56,0%,9.39
"mathematical word problem generation from commonsense knowledge graph and 
equations",0,55,0%,6.91
"causal direction of data collection matters: implications of causal and 
anticausal learning for nlp",0,55,0%,8.93
how to win a data science competition,0,55,0%,34.18
first order motion model for image animation,0,55,0%,53.07
autofl: enabling heterogeneity-aware energy efficient federated learning,0,54,0%,7.5
explaining in style training a gan to explain a classifier in stylespace,0,54,0%,9.24
data curation for ai,0,54,0%,89.67
"sentence encoders on stilts: supplementary training on intermediate 
labeled-data tasks",0,53,0%,7.43
respirenet,0,53,0%,8.43
few-shot conversational dense retrieval,0,53,0%,10.26
bayesian knowledge tracing python,0,53,0%,10.79
ai feedback loop,0,53,0%,73.17
machine learning observability,0,53,0%,94.87
clova baseline system for the {voxceleb} speaker recognition challenge 2020,0,52,0%,7.96
unsupervised pretraining for object detection by patch reidentification,0,52,0%,8.42
tangent space backpropagation for 3d transformation groups,0,52,0%,9.33
contextualized query embeddings for conversational search,0,51,0%,8.29
scene text retrieval via joint text detection and similarity learning,0,51,0%,8.57
dual-side sparse tensor core,0,51,0%,8.63
di-fusion: online implicit 3d reconstruction with deep priors,0,51,0%,9.49
logbert: log anomaly detection via bert,0,51,0%,10.04
"fjord: fair and accurate federated learning under heterogeneous targets 
with ordered dropout",0,51,0%,10.24
"query complexity of least absolute deviation regression via robust uniform 
convergence",0,50,0%,6.02
walk in the cloud: learning curves for point clouds shape analysis,0,50,0%,7.04
a comprehensive study of deep video action recognition,0,50,0%,7.58
"fastcorrect: fast error correction with edit alignment for automatic speech 
recognition",0,50,0%,7.84
multimodal systems,0,50,0%,92
knowledge-aware graph-enhanced gpt-2 for dialogue state tracking,0,49,0%,7.88
cggan,0,49,0%,8.18
convtransformer,0,49,0%,9.1
knowledge graph best practices,0,49,0%,82.88
mutual contrastive learning for visual representation learning,0,48,0%,6.69
direct differentiable augmentation search,0,48,0%,8.92
"do transformer modifications transfer across implementations and 
applications?",0,48,0%,9.1
zeoco,0,48,0%,25.83
transunet,0,48,0%,49.83
"set2setrank: collaborative set to set ranking for implicit feedback based 
recommendation",0,47,0%,6.94
yolino,0,47,0%,7.3
clova baseline system for the voxceleb speaker recognition challenge 2020,0,47,0%,8.17
"vt-adl: a vision transformer network for image anomaly detection and 
localization",0,47,0%,9.15
feature purification: how adversarial training performs robust deep learning,0,47,0%,9.53
shef: shielded enclaves for cloud fpgas,0,46,0%,6.43
counter-strike deathmatch with large-scale behavioural cloning,0,46,0%,7.3
m2tr: multi-modal multi-scale transformers for deepfake detection,0,46,0%,7.87
sequence-to-sequence learning with latent neural grammars,0,46,0%,9.07
fast nonblocking persistence for concurrent data structures,0,46,0%,9.7
"interpreting and unifying graph neural networks with an optimization 
framework",0,46,0%,10.2
"style tokens: unsupervised style modeling, control and transfer in 
end-to-end speech synthesis",0,46,0%,10.7
vcgan,0,45,0%,8.93
"device sampling for heterogeneous federated learning: theory, algorithms, 
and implementation",0,45,0%,9.64
"algorithms for solving high dimensional pdes: from nonlinear monte carlo to 
machine learning",0,45,0%,9.78
medical conversation dataset,0,45,0%,86.87
"rdma is turing complete, we just did not know it yet!",0,44,0%,9.11
efficient and interpretable robot manipulation with graph neural networks,0,44,0%,10.16
acorn: adaptive coordinate networks for neural representation,0,44,0%,10.59
towards domain-agnostic contrastive learning,0,44,0%,11.57
huggingface transfer learning conv ai,0,44,0%,34.36
improving text-to-sql with schema dependency learning,0,43,0%,5.77
"bootstrapping user and item representations for one-class collaborative 
filtering",0,43,0%,6.19
blind bipedal stair traversal via sim-to-real reinforcement learning,0,43,0%,8.88
"rocketqav2: a joint training method for dense passage retrieval and passage 
re-ranking",0,43,0%,9.37
deep learning based vulnerability detection: are we there yet?,0,43,0%,9.53
annealed flow transport monte carlo,0,43,0%,9.63
dosdetection github,0,43,0%,45.65
fvc: a new framework towards deep video compression in feature space,0,42,0%,7.36
"learning graph meta embeddings for cold-start ads in click-through rate 
prediction",0,42,0%,9.14
weakly-supervised physically unconstrained gaze estimation,0,42,0%,9.38
multi-modal open-domain dialogue,0,42,0%,9.86
"styleflow: attribute-conditioned exploration of stylegan-generated images 
using conditional continuous normalizing flows",0,42,0%,9.95
tensorflow history,0,42,0%,68.76
knowledge-based review generation by coherence enhanced text planning,0,41,0%,7.85
"sim-to-real learning of all common bipedal gaits via periodic reward 
composition",0,41,0%,8.51
"the surprising power of graph neural networks with random node 
initialization",0,41,0%,8.56
fudge: controlled text generation with future discriminators,0,41,0%,9.15
visual domain adaptation with manifold embedded distribution alignment,0,41,0%,9.27
